Matriz,Zona ,Lugar de Muestreo,Punto de Monitoreo,Barrido,Fecha,Hora,Altitud(msnm),latitud,longitud,Caudal (L/s),pH,Temperatura Ambiente (°C),Temperatura Muestra (°C),Oxígeno disueltomg O2/L,DQOmg O2/L,DBO5mg O2/L,Conductividad(25 °C)µs/cm,Fósforo Totalmg P/L,Nitrógeno Totalmg N/L,Nitrógeno Total Kjeldahlmg N/L,Nitratosmg NO3  N/L,Nitritosmg NO2  N/L,Grasas y Aceitesmg/L,Sólidos suspendidos Totales mg/L,Sólidos suspendidos volátiles mg/L,Sólidos Totalesmg/L,Turbidez NTU,Fenolesmg Fenol/L,Cromomg Cr /L,Cianuro mg CN/L,Mercuriomg Hg/L,Sulfurosmg S2/L ,Coliformes TotalesNMP/100 mL,Coliformes FecalesNMP/100 mL,ÍNDICE DE CALIDAD DE AGUA ICA,Tramo Acuerdo 39 de 2015,Longitud del tramo (Km)
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Flora,QLF-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,1009,"  7° 7'9.27""N"," 73° 6'17.28""W",13,7.73,22.4,22,5.46,55.7,12.7,411,0.76,2.3,-,3.16,-,14.4,16.8,10.0,476,11.4,-,-,-,-,-,140000,140000,0.35,QLF-B-01,1.893
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Cascada,QLC-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,947,"  7° 6'18.14""N"," 73° 6'18.88""W",76,7.86,22.4,21.6,5.16,40.1,25.3,399,1.2,2.1,-,6.4,-,7.3,21.8,< 10,480,5.64,-,-,-,-,-,540000,240000,0.32,QLC-B-01,0.402
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-03,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,846,"  7° 5'35.55""N"," 73° 7'9.84""W",1058,7.8,31.4,25.4,1.88,595.0,321,714,8.1,47.77,-,1.92,-,72.5,550,295.0,1184,292,-,-,-,-,-,16000000,9200000,0.15,QLI-B-03 /  QLI-B-03_QLI-B-02,6.556000000000001
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Macho,QM-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,827," 7° 5'30.18""N"," 73° 7'18.08""W",3.4,7.65,26.2,25.3,5.06,29.5,17,326,0.7,6,-,5.36,-,24.8,< 10,< 10,206,3.33,-,-,-,-,-,540000,240000,0.22,QMB-B-01,0.158
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Guacamaya,QG-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,845,"  7° 5'33.63""N"," 73° 7'23.76""W",8.7,7.65,26.2,24,4.17,75.4,30.7,431,1.0,6.2,-,0.871,-,15.4,13.4,< 10,280,6.9,-,-,-,-,-,1600000,350000,0.3,QG-B-01,0.083
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-02,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,743,"  7° 4'58.93""N"," 73° 9'8.89""W",976,7.9,29.7,25.2,4.27,236.0,87.1,687,4.2,35.78,-,0.641,-,79.4,192,108.0,548,99.6,-,-,-,-,-,9200000,2400000,0.24,QLI-B-03_QLI-B-02 /  QLI-B-02_QLI-G-01,6.853
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Carrasco,QC-B-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,758,"  7° 4'58.23""N"," 73° 9'9.33""W",15,8.41,29.2,27.2,0,6300.0,2917,15700,6.5,1091,-,10.5,-,22.7,567,220.0,8450,> 1000,0.8,0.215,-,< 0.5,-,160000000,160000000,0.15,QC-B-01,0.02
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-G-01,11/01/2014 12:00:00 AM,2014-11-15T00:00:00,,710,"  7° 4'45.36""N"," 73°10'11.15""W",2891,8.01,28.3,25.8,4.46,198.0,56.5,877,4.4,45.24,-,0.435,-,11.2,87.5,46.3,502,54.4,-,-,-,-,-,3500000,2400000,0.33,QLI-B-02_QLI-G-01,2.296
Red Calidad Agua,Escarpa,Quebrada Chimitá,QCA-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,689,"  7° 5'47.94""N"," 73° 9'56.19""W",1343,7.8,24.3,28.2,1.79,334.0,125,897,2.8,53.14,-,1.27,-,28.1,332,124.0,578,261,-,-,-,-,-,5400000,490000,0.16,QCA-B-01,0.778
Red Calidad Agua,Escarpa,Quebrada Cuyamita,QCY-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,673,"  7° 6'38.29""N"," 73° 9'39.13""W",44,7.87,30.2,22,3.67,84.0,40,734,2.8,27.16,-,0.859,-,10,173,40.0,508,43.9,-,-,-,-,-,3500000,490000,0.23,QCY-B-01,1.089
Red Calidad Agua,Escarpa,Quebrada Argelia,QA-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,669,"  7° 7'52.72""N"," 73° 9'18.44""W",52,8.05,24.6,21.5,4.96,39.2,13,566,2.8,14.9,-,5.31,-,< 6.3,13.6,< 10,304,6.65,-,-,-,-,-,350000,240000,0.34,QA-B-01,0.266
Red Calidad Agua,Escarpa,Quebrada Las Navas,QLN-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,650,"  7° 8'15.31""N"," 73° 9'11.20""W",240,7.78,28.3,25.3,2.88,384.0,244,1220,4.0,66.75,-,1.91,-,< 6.3,78,66.0,640,32.2,-,-,-,-,-,16000000,2800000,0.26,QLN-B-01,0.24
Red Calidad Agua,Escarpa,Quebrada Chapinero,QCH-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,657,"  7° 8'32.04""N"," 73° 9'5.63""W",346,7.76,30.1,24,3.87,193.0,81.2,928,3.6,32.14,-,0.617,-,< 6.3,61.3,40.0,519,30,-,-,-,-,-,2400000,270000,0.28,QCH-B-01,0.548
Red Calidad Agua,Escarpa,Quebrada La Picha,QLP-B-01,11/01/2014 12:00:00 AM,2014-11-13T00:00:00,,659,"  7° 8'55.76""N"," 73° 8'56.34""W",136,7.5,30.2,25,2.48,140.0,64,589,2.7,19.04,-,1.27,-,< 6.3,41,24.0,365,26.7,-,-,-,-,-,5400000,3500000,0.26,QLP-B-01,0.188
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Las Nieves,QN-G-01,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,713,"  7° 3'58.97""N"," 73°10'3.13""W",4,7.5,31.5,26.2,4.66,18.8,2.1,608,0.2,2.46,-,3.6,-,< 6.3,< 10,< 10,395,1.86,-,-,-,-,-,1700,1700,0.29,QN-G-01,0.053
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-01,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,779,"  7° 3'54.54""N"," 73° 7'10.46""W",173,7.9,21.6,23.7,5.95,23.7,9.5,321,0.6,1.85,-,3.05,-,< 6.3,< 10,< 10,220,4.15,-,-,-,-,-,230000,130000,0.25,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-01,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,819," 7° 3'28.82""N"," 73° 6'18.48""W",217,7.38,26.1,23.9,5.85,21.2,11.4,344,0.5,2.97,-,4.84,-,< 6.3,< 10,< 10,222,1.93,-,-,-,-,-,130000,130000,0.25,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-02,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,913,"  7° 5'5.92""N"," 73° 5'2.73""W",209,7.67,25.4,23.6,5.75,54.7,7.6,351,0.4,5.9,-,1.78,-,< 6.3,18.8,< 10,232,9.52,-,-,-,-,-,920000,49000,0.38,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-02,11/01/2014 12:00:00 AM,2014-11-06T00:00:00,,897,"  7° 3'25.31""N"," 73° 4'58.74""W",63,7.9,21.6,20.3,6.94,< 15,2.2,205,0.1,1.29,-,1.25,-,< 6.3,< 10,< 10,147,2.76,-,-,-,-,-,2200,1300,0.38,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada La Palmira,QP-P-01,11/01/2014 12:00:00 AM,2014-11-09T00:00:00,,997,"  6°59'26.21""N"," 73° 3'34.26""W",20,7.3,27.1,27.8,6.05,< 15,5.3,369,0.4,0.84,-,< 0.3,-,< 6.3,< 10,< 10,414,1.95,-,-,-,-,-,33000,4500,0.29,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Soratoque,QSO-P-01,11/01/2014 12:00:00 AM,2014-11-09T00:00:00,,987,"  6°59'27.90""N"," 73° 3'26.87""W",34,7.2,27.4,25.7,4.66,15.5,6,233,0.4,1.85,-,0.95,-,< 6.3,11.8,< 10,285,1.94,-,-,-,-,-,54000,54000,0.39,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-04,11/01/2014 12:00:00 AM,2014-11-09T00:00:00,,975,"  7° 4'4.58""N"," 73° 4'29.57""W",442,7.39,23.4,23,7.14,< 15,3.1,90.3,0.1,1.34,-,0.85,-,< 6.3,23.5,< 10,119,7.38,-,-,-,-,-,7800,7800,0.52,RF-F-04_RF-F-03,5.794
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-03,11/01/2014 12:00:00 AM,2014-11-09T00:00:00,,786,"  7° 3'53.50""N"," 73° 7'10.95""W",789,7.71,26.6,23.2,6.75,< 15,5.2,229,0.4,1.96,-,1.69,-,10.2,22,< 10,181,9.12,-,-,-,-,-,35000,11000,0.43,RF-F-04_RF-F-03 / RF-F-03_RF-F-02,6.763
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-02,11/01/2014 12:00:00 AM,2014-11-09T00:00:00,,764,"  7° 3'54.12""N"," 73° 7'31.19""W",1057,7.58,28.9,21,3.87,48.1,18.3,280,0.9,5.7,-,< 0.3,-,< 6.3,41.5,14.0,240,18,-,-,-,-,-,920000,170000,0.3,RF-F-03_RF-F-02 / RF-F-02_RF-G-02A ,4.58
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-G-01,11/01/2014 12:00:00 AM,2014-11-09T00:00:00,,701,"  7° 3'53.70""N"," 73° 9'54.01""W",2073,7.62,26.9,24.1,2.68,184.0,74.1,792,4.5,42.67,-,< 0.3,-,< 6.3,124,64.0,454,28.7,-,-,-,-,-,16000000,1300000,0.27,RF-G-02A_RF-G-01,2.608
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-06,11/01/2014 12:00:00 AM,2014-11-10T00:00:00,,911,"  6°58'5.63""N"," 73° 3'37.30""W",2301,7.21,22.8,19,1.88,206.0,65.3,419,1.0,4.59,-,0.65,-,"< 6,3",1600,200.0,1928,459,-,-,-,-,-,3500000,1400000,0.18,RO-P-07_RO-P-06 / RO-P-06_RO-P-06A,8.03
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-03,11/01/2014 12:00:00 AM,2014-11-10T00:00:00,,653,"  7° 5'52.72""N"," 73°10'20.48""W",11288,7.2,31.1,27.6,4.96,60.4,26.7,167,0.6,7.22,-,< 0.3,-,< 6.3,158,33.3,242,59.8,-,-,-,-,-,1700000,1300000,0.43,RO-G-04_RO-G-03 / RO-G-03_RO-B-02 ,10.783999999999999
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-07,11/01/2014 12:00:00 AM,2014-11-10T00:00:00,,1026,"  6°59'23.24""N"," 73° 2'26.97""W",3694,7.12,21.5,19.1,7.44,< 15,< 2.0,90.9,0.0,1.4,-,< 0.3,-,< 6.3,31.6,13.6,96,7.83,-,-,-,-,-,680,680,0.54,RO-P-07_RO-P-06,3.977
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-05,11/01/2014 12:00:00 AM,2014-11-10T00:00:00,,733,"  7° 1'41.00""N"," 73° 9'54.08""W",7624,7.23,27.8,29.2,4.86,130.0,18.5,143,0.5,4.65,-,0.52,-,< 6.3,2260,160.0,2340,> 1000,-,-,-,-,-,540000,350000,0.38,RO-G-05_RO-G-04,3.127
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-01,11/01/2014 12:00:00 AM,2014-11-10T00:00:00,,615,"  7° 9'57.14""N"," 73° 8'38.93""W",18723,7.55,32.3,30.5,3.27,71.0,23,373,0.7,12.66,-,< 0.3,-,16.9,153,35.7,276,41.2,-,-,-,-,-,1700000,1100000,0.38,RO-B-02_RO-B-01,5.286
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-02,11/01/2014 12:00:00 AM,2014-11-10T00:00:00,,653,"  7° 7'31.56""N"," 73° 9'39.31""W",19944,7.09,31.1,27.9,2.18,186.0,21,434,1.4,20.78,-,< 0.3,-,7.3,1740,160.0,1196,> 1000,-,-,-,-,-,920000,920000,0.3,RO-G-03_RO-B-02 / RO-B-02_RO-B-01 ,9.171
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-04,11/01/2014 12:00:00 AM,2014-11-10T00:00:00,,719,"  7° 2'55.60""N"," 73°10'4.04""W",6379,7.3,32,24.1,4.46,166.0,22.6,151,0.4,4.93,-,1.44,-,< 6.3,2340,240.0,6696,> 1000,-,-,-,-,-,1600000,920000,0.34,RO-G-05_RO-G-04 / RO-G-04_RO-G-03,10.026
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-02,11/01/2014 12:00:00 AM,2014-11-11T00:00:00,,658,"  7° 9'28.88""N"," 73° 7'45.38""W",7371,7.77,24.1,22.5,6.65,137.0,19,175.7,0.5,3.58,-,< 0.3,-,< 6.3,302,26.7,500,188,-,-,0.029,0.83,-,790000,790000,0.39,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-01,11/01/2014 12:00:00 AM,2014-11-11T00:00:00,,617,"  7° 9'58.10""N"," 73° 8'35.70""W",14354,7.35,25.2,21.8,6.35,35.0,8.3,181.1,0.3,2.41,-,< 0.3,-,< 6.3,131,20.5,246,91,-,-,< 0.025,0.54,-,92000,35000,0.5,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Escarpa,Quebrada Chimitá,QCA-B-01,12/01/2014 12:00:00 AM,13/12/2014,,689,"  7° 5'47.94""N"," 73° 9'56.19""W",1063,7.8,24.3,25.7,3.37,289.0,98.2,829,3.1,40.21,-,< 0.3,-,6.9,162,74.0,630,93.2,-,-,-,-,-,16000000,16000000,0.14,QCA-B-01,0.778
Red Calidad Agua,Escarpa,Quebrada Cuyamita,QCY-B-01,12/01/2014 12:00:00 AM,13/12/2014,,673,"  7° 6'38.29""N"," 73° 9'39.13""W",115,7.87,30.2,25.9,3.47,82.4,32.4,838,4.2,39.7,-,< 0.3,-,< 6.3,26.5,13.0,376,18.2,-,-,-,-,-,16000000,16000000,0.19,QCY-B-01,1.089
Red Calidad Agua,Escarpa,Quebrada Argelia,QA-B-01,12/01/2014 12:00:00 AM,13/12/2014,,669,"  7° 7'52.72""N"," 73° 9'18.44""W",0.896,8.05,24.6,25.9,5.26,56.3,13.2,953,0.8,1.23,-,7.2,-,< 6.3,189,18.8,742,166,-,-,-,-,-,350000,280000,0.19,QA-B-01,0.266
Red Calidad Agua,Escarpa,Quebrada Las Navas,QLN-B-01,12/01/2014 12:00:00 AM,13/12/2014,,650,"  7° 8'15.31""N"," 73° 9'11.20""W",323,7.78,28.3,25.6,2.58,233.0,108,1203,4.1,48.83,-,< 0.3,-,< 6.3,44,36.0,665,18,-,-,-,-,-,16000000,5400000,0.21,QLN-B-01,0.24
Red Calidad Agua,Escarpa,Quebrada Chapinero,QCH-B-01,12/01/2014 12:00:00 AM,13/12/2014,,657,"  7° 8'32.04""N"," 73° 9'5.63""W",404,7.76,30.1,24.3,5.06,180.0,81.7,776,3.1,29.34,-,< 0.3,-,9.6,56.3,40.0,466,29.7,-,-,-,-,-,16000000,16000000,0.3,QCH-B-01,0.548
Red Calidad Agua,Escarpa,Quebrada La Picha,QLP-B-01,12/01/2014 12:00:00 AM,13/12/2014,,659,"  7° 8'55.76""N"," 73° 8'56.34""W",118,7.5,30.2,25.5,4.07,144.0,68.6,502,2.2,13.94,-,0.3,-,< 6.3,229,26.3,452,24.3,-,-,-,-,-,16000000,16000000,0.22,QLP-B-01,0.188
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Flora,QLF-B-01,12/01/2014 12:00:00 AM,15/12/2014,,1009,"  7° 7'9.27""N"," 73° 6'17.28""W",302,7.73,22.4,20.8,7.04,122.0,36.7,294,1.0,10.81,-,0.54,-,10.5,137,55.0,314,124,-,-,-,-,-,2400000,2400000,0.29,QLF-B-01,1.893
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Cascada,QLC-B-01,12/01/2014 12:00:00 AM,15/12/2014,,947,"  7° 6'18.14""N"," 73° 6'18.88""W",197,7.86,22.4,22,6.15,59.3,13.6,341,0.8,5.71,-,0.87,-,< 6.3,20.8,< 10,224,32.4,-,-,-,-,-,430000,350000,0.36,QLC-B-01,0.402
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-03,12/01/2014 12:00:00 AM,15/12/2014,,846,"  7° 5'35.55""N"," 73° 7'9.84""W",705,7.8,31.4,21.5,3.47,323.0,149,544,4.6,28.06,-,< 0.3,-,31.9,254,124.0,586,292,-,-,-,-,-,16000000,16000000,0.2,QLI-B-03 /  QLI-B-03_QLI-B-02,6.556000000000001
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Macho,QM-B-01,12/01/2014 12:00:00 AM,15/12/2014,,827," 7° 5'30.18""N"," 73° 7'18.08""W",1.652,7.65,26.2,25.3,5.85,24.4,9.9,306,0.7,5.15,-,1.06,-,< 6.3,< 10,< 10,190,4.15,-,-,-,-,-,94000,84000,0.25,QMB-B-01,0.158
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Guacamaya,QG-B-01,12/01/2014 12:00:00 AM,15/12/2014,,845,"  7° 5'33.63""N"," 73° 7'23.76""W",13.184,7.81,27.5,24.2,1.79,530.0,286,763,3.7,37.52,-,< 0.3,-,39.7,220,156.0,694,248,-,-,-,-,-,1600000,350000,0.19,QG-B-01,0.083
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-02,12/01/2014 12:00:00 AM,15/12/2014,,743,"  7° 4'58.93""N"," 73° 9'8.89""W",833,7.9,29.7,23.7,5.36,175.0,37.5,300,5.2,31.14,-,0.72,-,< 6.3,252,50.0,410,256,-,-,-,-,-,3500000,3500000,0.23,QLI-B-03_QLI-B-02 /  QLI-B-02_QLI-G-01,6.853
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Carrasco,QC-B-01,12/01/2014 12:00:00 AM,15/12/2014,,758,"  7° 4'58.23""N"," 73° 9'9.33""W",13.299999999999999,8.41,29.2,27,0,8697.0,3846,19420,10.0,1561,-,1.45,-,< 6.3,420,235.0,11330,510,-,-,-,-,-,>160000000,>160000000,0.14,QC-B-01,0.02
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-G-01,12/01/2014 12:00:00 AM,15/12/2014,,710,"  7° 4'45.36""N"," 73°10'11.15""W",1070,8.01,28.3,26.5,4.66,206.0,68.9,486,3.9,24.47,-,0.45,-,< 6.3,224,70.0,420,245,-,-,-,-,-,16000000,16000000,0.24,QLI-B-02_QLI-G-01,2.296
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-02,12/01/2014 12:00:00 AM,16/12/2014,,913,"  7° 5'5.92""N"," 73° 5'2.73""W",282,7.76,24.7,24.1,4.46,29.4,5.6,381,0.3,1.34,-,< 0.3,-,8.6,38.5,10.0,248,35,-,-,-,-,-,54000,35000,0.36,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-01,12/01/2014 12:00:00 AM,16/12/2014,,819," 7° 3'28.82""N"," 73° 6'18.48""W",297,7.76,25.6,24.3,5.46,26.1,6.5,418,0.6,5.15,-,0.91,-,< 6.3,< 10,< 10,246,8.74,-,-,-,-,-,240000,240000,0.26,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-02,12/01/2014 12:00:00 AM,16/12/2014,,897,"  7° 3'25.31""N"," 73° 4'58.74""W",145,7.59,31.3,22.2,6.84,< 15,2.9,198.6,0.1,1.29,-,0.99,-,8.6,52.8,< 10,198,34.2,-,-,-,-,-,3300,2100,0.45,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Soratoque,QSO-P-01,12/01/2014 12:00:00 AM,17/12/2014,,987,"  6°59'27.90""N"," 73° 3'26.87""W",44,7.82,21.3,24.4,5.65,15.5,4.3,347,0.5,1.74,-,0.8,-,< 6.3,< 10,< 10,224,6.11,-,-,-,-,-,23000,23000,0.28,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada La Palmira,QP-P-01,12/01/2014 12:00:00 AM,17/12/2014,,997,"  6°59'26.21""N"," 73° 3'34.26""W",27,7.69,28.7,23.1,3.87,77.5,5.8,407,0.8,2.35,-,1.28,-,< 6.3,< 10,< 10,266,14.4,-,-,-,-,-,63000,46000,0.24,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-01,12/01/2014 12:00:00 AM,17/12/2014,,779,"  7° 3'54.54""N"," 73° 7'10.46""W",337,7.71,27.8,23.9,5.26,27.7,5.9,311,0.9,2.41,-,0.43,-,< 6.3,< 10,< 10,219,5.89,-,-,-,-,-,160000,160000,0.26,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Las Nieves,QN-G-01,12/01/2014 12:00:00 AM,17/12/2014,,713,"  7° 3'58.97""N"," 73°10'3.13""W",0.447,8.44,26.9,26,6.45,15.5,2.2,601,0.2,0.73,-,1.95,-,< 6.3,< 10,< 10,396,2.28,-,-,-,-,-,2500,2100,0.35,QN-G-01,0.053
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-04,12/01/2014 12:00:00 AM,17/12/2014,,975,"  7° 4'4.58""N"," 73° 4'29.57""W",534,7.12,26.4,20.5,7.14,< 15 ,< 2.0,85.2,0.0,0.78,-,0.51,-,< 6.3,< 10,< 10,92,4.72,-,-,-,-,-,170,170,0.41,RF-F-04_RF-F-03,5.794
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-03,12/01/2014 12:00:00 AM,17/12/2014,,786,"  7° 3'53.50""N"," 73° 7'10.95""W",1084,7.78,27.2,24,6.15,21.2,7.3,204,0.5,2.63,-,1.06,-,< 6.3,14.9,< 10,162,20.1,-,-,-,-,-,840000,630000,0.42,RF-F-04_RF-F-03 / RF-F-03_RF-F-02,6.763
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-02,12/01/2014 12:00:00 AM,17/12/2014,,764,"  7° 3'54.12""N"," 73° 7'31.19""W",1135,7.38,34.2,25.2,4.17,49.8,10.8,266,0.8,3.3,-,0.79,-,< 6.3,27.2,< 10,228,6.97,-,-,-,-,-,280000,220000,0.34,RF-F-03_RF-F-02 / RF-F-02_RF-G-02A ,4.58
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-G-01,12/01/2014 12:00:00 AM,17/12/2014,,701,"  7° 3'53.70""N"," 73° 9'54.01""W",3927,7.56,28.6,28.2,0.99,166.0,36.1,779,5.4,31.36,-,< 0.3,-,< 6.3,74,43.0,458,45.1,-,-,-,-,-,2200000,2200000,0.29,RF-G-02A_RF-G-01,2.608
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-02,12/01/2014 12:00:00 AM,18/12/2014,,658,"  7° 9'28.88""N"," 73° 7'45.38""W",4034,7.8,27.1,21.6,6.75,32.5,10.4,214,0.5,3.47,-,< 0.3,-,< 6.3,95.3,13.3,249,36.5,-,-,0.035,3.04,-,110000,110000,0.44,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-01,12/01/2014 12:00:00 AM,18/12/2014,,617,"  7° 9'58.10""N"," 73° 8'35.70""W",12054,7.74,29.1,24.1,4.96,17.9,2.9,209,0.3,2.91,-,< 0.3,-,< 6.3,117,18.3,255,46.6,-,-,0.029,0.77,-,3900,2700,0.5,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-07,12/01/2014 12:00:00 AM,2014-12-22T00:00:00,,1026,"  6°59'23.24""N"," 73° 2'26.97""W",1337,7.26,20.1,17.5,7.54,16.3,< 2.0,87.7,0.0,1.23,-,< 0.3,-,< 6.3,17.5,< 10,86,7.5,-,-,-,-,-,330,230,0.53,RO-P-07_RO-P-06,3.977
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-06,12/01/2014 12:00:00 AM,2014-12-22T00:00:00,,911,"  6°58'5.63""N"," 73° 3'37.30""W",2212,7.53,21.8,19.1,3.37,71.5,30,198.6,1.2,10.53,-,"< 0,3",-,8.2,48.3,30.0,169,24.3,-,-,-,-,-,2200000,1300000,0.34,RO-P-07_RO-P-06 / RO-P-06_RO-P-06A,8.03
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-05,12/01/2014 12:00:00 AM,22/12/2014,,733,"  7° 1'41.00""N"," 73° 9'54.08""W",3050,7.47,31.6,24.4,3.97,39.0,16.8,272,0.7,5.49,-,1.54,-,< 6.3,15.6,< 10,179,10.5,-,-,-,-,-,540000,350000,0.32,RO-G-05_RO-G-04,3.127
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-04,12/01/2014 12:00:00 AM,22/12/2014,,719,"  7° 2'55.60""N"," 73°10'4.04""W",2520,7.44,25.5,25.7,5.36,40.6,13.7,290,0.8,6.69,-,1.98,-,< 6.3,13.6,< 10,202,7.96,-,-,-,-,-,470000,400000,0.39,RO-G-05_RO-G-04 / RO-G-04_RO-G-03,10.026
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-03,12/01/2014 12:00:00 AM,22/12/2014,,653,"  7° 5'52.72""N"," 73°10'20.48""W",7091,7.47,36.3,29.7,0,274.0,103,786,3.4,32.09,-,< 0.3,-,1091,150,105.0,604,93.2,-,-,-,-,-,16000000,16000000,0.27,RO-G-04_RO-G-03 / RO-G-03_RO-B-02 ,10.783999999999999
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-02,12/01/2014 12:00:00 AM,22/12/2014,,653,"  7° 7'31.56""N"," 73° 9'39.31""W",8695,7.37,34.1,30.6,0,167.0,46.8,694,3.7,30.46,-,0.35,-,8.5,73.8,37.5,426,18.5,-,-,-,-,-,9200000,9200000,0.31,RO-G-03_RO-B-02 / RO-B-02_RO-B-01 ,9.171
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-01,12/01/2014 12:00:00 AM,22/12/2014,,615,"  7° 9'57.14""N"," 73° 8'38.93""W",6715,7.23,32.1,30.1,0,141.0,37.6,670,3.3,29.74,-,0.42,-,10.5,46,19.0,369,49.3,-,-,-,-,-,5400000,5400000,0.3,RO-B-02_RO-B-01,5.286
